tkt=300,Temperaturen_in_1 / 10Grad;:Außentemperatur;:Spannung AC;:Spannung DC;:xxx;
22.05.2023 00:02:30;155;0;0;0;
22.05.2023 00:07:30;155;0;0;0;
22.05.2023 00:12:30;152;0;0;0;
22.05.2023 00:17:30;152;0;0;0;
22.05.2023 00:22:30;152;0;0;0;
22.05.2023 00:27:30;152;0;0;0;
22.05.2023 00:32:30;152;0;0;0;
22.05.2023 00:37:30;152;0;0;0;
22.05.2023 00:42:30;151;0;0;0;
22.05.2023 00:47:30;148;0;0;0;
22.05.2023 00:52:30;148;0;0;0;
22.05.2023 00:57:30;148;0;0;0;
22.05.2023 01:02:30;146;0;0;0;
22.05.2023 01:07:30;146;0;0;0;
22.05.2023 01:12:30;146;0;0;0;
22.05.2023 01:17:30;145;0;0;0;
22.05.2023 01:22:30;145;0;0;0;
22.05.2023 01:27:30;145;0;0;0;
22.05.2023 01:32:30;144;0;0;0;
22.05.2023 01:37:30;137;0;0;0;
22.05.2023 01:42:30;137;0;0;0;
22.05.2023 01:47:30;137;0;0;0;
22.05.2023 01:52:30;137;0;0;0;
22.05.2023 01:57:30;137;0;0;0;
22.05.2023 02:02:30;137;0;0;0;
22.05.2023 02:07:30;138;0;0;0;
22.05.2023 02:12:30;142;0;0;0;
22.05.2023 02:17:30;142;0;0;0;
22.05.2023 02:22:30;142;0;0;0;
22.05.2023 02:27:30;142;0;0;0;
22.05.2023 02:32:30;142;0;0;0;
22.05.2023 02:37:30;142;0;0;0;
22.05.2023 02:42:30;134;0;0;0;
22.05.2023 02:47:30;131;0;0;0;
22.05.2023 02:52:30;131;0;0;0;
22.05.2023 02:57:30;131;0;0;0;
22.05.2023 03:02:30;131;0;0;0;
22.05.2023 03:07:30;131;0;0;0;
22.05.2023 03:12:30;131;0;0;0;
22.05.2023 03:17:30;136;0;0;0;
22.05.2023 03:22:30;136;0;0;0;
22.05.2023 03:27:30;136;0;0;0;
22.05.2023 03:32:30;129;0;0;0;
22.05.2023 03:37:30;126;0;0;0;
22.05.2023 03:42:30;126;0;0;0;
22.05.2023 03:47:30;126;0;0;0;
22.05.2023 03:52:30;126;0;0;0;
22.05.2023 03:57:30;126;0;0;0;
22.05.2023 04:02:30;125;0;0;0;
22.05.2023 04:07:30;123;0;0;0;
22.05.2023 04:12:30;123;0;0;0;
22.05.2023 04:17:30;123;0;0;0;
22.05.2023 04:22:30;121;0;0;0;
22.05.2023 04:27:30;121;0;0;0;
22.05.2023 04:32:30;121;0;0;0;
22.05.2023 04:37:30;121;0;0;0;
22.05.2023 04:42:30;121;0;0;0;
22.05.2023 04:47:30;121;0;0;0;
22.05.2023 04:52:30;121;0;0;0;
22.05.2023 04:57:30;121;0;0;0;
22.05.2023 05:02:30;121;0;0;0;
22.05.2023 05:07:30;121;0;0;0;
22.05.2023 05:12:30;126;0;0;0;
22.05.2023 05:17:30;129;0;0;0;
22.05.2023 05:22:30;129;0;104;0;
22.05.2023 05:27:30;129;0;469;0;
22.05.2023 05:32:30;129;0;523;0;
22.05.2023 05:37:30;129;0;587;0;
22.05.2023 05:42:30;129;0;542;0;
22.05.2023 05:47:30;129;0;504;0;
22.05.2023 05:52:30;129;0;530;0;
22.05.2023 05:57:30;129;0;554;0;
22.05.2023 06:02:30;129;0;559;0;
22.05.2023 06:07:30;129;0;587;0;
22.05.2023 06:12:30;129;0;612;0;
22.05.2023 06:17:30;129;0;629;0;
22.05.2023 06:22:30;129;0;639;0;
22.05.2023 06:27:30;129;0;648;0;
22.05.2023 06:32:30;129;0;651;0;
22.05.2023 06:37:30;133;0;658;0;
22.05.2023 06:42:30;133;0;666;0;
22.05.2023 06:47:30;133;0;668;0;
22.05.2023 06:52:30;141;0;671;0;
22.05.2023 06:57:30;146;0;677;0;
22.05.2023 07:02:30;146;0;681;0;
22.05.2023 07:07:30;147;0;683;0;
22.05.2023 07:12:30;149;0;685;0;
22.05.2023 07:17:30;149;0;687;0;
22.05.2023 07:22:30;149;0;689;0;
22.05.2023 07:27:30;152;0;691;0;
22.05.2023 07:32:30;152;0;696;0;
22.05.2023 07:37:30;152;0;697;0;
22.05.2023 07:42:30;154;0;703;0;
22.05.2023 07:47:30;155;0;702;0;
22.05.2023 07:52:30;155;0;703;0;
22.05.2023 07:57:30;156;0;704;0;
22.05.2023 08:02:30;159;0;705;0;
22.05.2023 08:07:30;159;0;705;0;
22.05.2023 08:12:30;159;0;706;0;
22.05.2023 08:17:30;162;0;720;0;
22.05.2023 08:22:30;162;0;713;0;
22.05.2023 08:27:30;162;0;708;0;
22.05.2023 08:32:30;166;0;704;0;
22.05.2023 08:37:30;168;0;704;0;
22.05.2023 08:42:30;168;0;708;0;
22.05.2023 08:47:30;173;0;702;0;
22.05.2023 08:52:30;183;0;697;0;
22.05.2023 08:57:30;183;0;698;0;
22.05.2023 09:02:30;183;0;700;0;
22.05.2023 09:07:30;191;0;703;0;
22.05.2023 09:12:30;191;0;703;0;
22.05.2023 09:17:30;191;0;699;0;
22.05.2023 09:22:30;195;0;696;0;
22.05.2023 09:27:30;198;0;689;0;
22.05.2023 09:32:30;198;0;680;0;
22.05.2023 09:37:30;197;0;672;0;
