tkt=300,Temperaturen_in_1 / 10Grad;:xxx;
01.07.2023 00:03:00;0;
01.07.2023 00:08:00;0;
01.07.2023 00:13:00;0;
01.07.2023 00:18:00;0;
01.07.2023 00:23:00;0;
01.07.2023 00:28:00;0;
01.07.2023 00:33:00;0;
01.07.2023 00:38:00;0;
01.07.2023 00:43:00;0;
01.07.2023 00:48:00;0;
01.07.2023 00:53:00;0;
01.07.2023 00:58:00;0;
01.07.2023 01:03:00;0;
01.07.2023 01:08:00;0;
01.07.2023 01:13:00;0;
01.07.2023 01:18:00;0;
01.07.2023 01:23:00;0;
01.07.2023 01:28:00;0;
01.07.2023 01:33:00;0;
01.07.2023 01:38:00;0;
01.07.2023 01:43:00;0;
01.07.2023 01:48:00;0;
01.07.2023 01:53:00;0;
01.07.2023 01:58:00;0;
01.07.2023 02:03:00;0;
01.07.2023 02:08:00;0;
01.07.2023 02:13:00;0;
01.07.2023 02:18:00;0;
01.07.2023 02:23:00;0;
01.07.2023 02:28:00;0;
01.07.2023 02:33:00;0;
01.07.2023 02:38:00;0;
01.07.2023 02:43:00;0;
01.07.2023 02:48:00;0;
01.07.2023 02:53:00;0;
01.07.2023 02:58:00;0;
01.07.2023 03:03:00;0;
01.07.2023 03:08:00;0;
01.07.2023 03:13:00;0;
01.07.2023 03:18:00;0;
01.07.2023 03:23:00;0;
01.07.2023 03:28:00;0;
01.07.2023 03:33:00;0;
01.07.2023 03:38:00;0;
01.07.2023 03:43:00;0;
01.07.2023 03:48:00;0;
01.07.2023 03:53:00;0;
01.07.2023 03:58:00;0;
01.07.2023 04:03:00;0;
01.07.2023 04:08:00;0;
01.07.2023 04:13:00;0;
01.07.2023 04:18:00;0;
01.07.2023 04:23:00;0;
01.07.2023 04:28:00;0;
01.07.2023 04:33:00;0;
01.07.2023 04:38:00;0;
01.07.2023 04:43:00;0;
01.07.2023 04:48:00;0;
01.07.2023 04:53:00;0;
01.07.2023 04:58:00;0;
01.07.2023 05:03:00;0;
01.07.2023 05:08:00;0;
01.07.2023 05:13:00;0;
01.07.2023 05:18:00;0;
01.07.2023 05:23:00;0;
01.07.2023 05:28:00;0;
01.07.2023 05:33:00;0;
01.07.2023 05:38:00;0;
01.07.2023 05:43:00;0;
01.07.2023 05:48:00;0;
01.07.2023 05:53:00;0;
01.07.2023 05:58:00;0;
01.07.2023 06:03:00;0;
01.07.2023 06:08:00;0;
01.07.2023 06:13:00;0;
01.07.2023 06:18:00;0;
01.07.2023 06:23:00;0;
01.07.2023 06:28:00;0;
01.07.2023 06:33:00;0;
01.07.2023 06:38:00;0;
01.07.2023 06:43:00;0;
01.07.2023 06:48:00;0;
01.07.2023 06:53:00;0;
01.07.2023 06:58:00;0;
01.07.2023 07:03:00;0;
01.07.2023 07:08:00;0;
01.07.2023 07:13:00;0;
01.07.2023 07:18:00;0;
01.07.2023 07:23:00;0;
01.07.2023 07:28:00;0;
01.07.2023 07:33:00;0;
01.07.2023 07:38:00;0;
01.07.2023 07:43:00;0;
01.07.2023 07:48:00;0;
01.07.2023 07:53:00;0;
01.07.2023 07:58:00;0;
01.07.2023 08:03:00;0;
01.07.2023 08:08:00;0;
01.07.2023 08:13:00;0;
01.07.2023 08:18:00;0;
01.07.2023 08:23:00;0;
01.07.2023 08:28:00;0;
01.07.2023 08:33:00;0;
01.07.2023 08:38:00;0;
01.07.2023 08:43:00;0;
01.07.2023 08:48:00;0;
01.07.2023 08:53:00;0;
01.07.2023 08:58:00;0;
01.07.2023 09:03:00;0;
01.07.2023 09:08:00;0;
01.07.2023 09:13:00;0;
01.07.2023 09:18:00;0;
01.07.2023 09:23:00;0;
01.07.2023 09:28:00;0;
01.07.2023 09:33:00;0;
01.07.2023 09:38:00;0;
01.07.2023 09:43:00;0;
01.07.2023 09:48:00;0;
01.07.2023 09:53:00;0;
01.07.2023 09:58:00;0;
01.07.2023 10:03:00;0;
01.07.2023 10:08:00;0;
01.07.2023 10:13:00;0;
01.07.2023 10:18:00;0;
01.07.2023 10:23:00;0;
01.07.2023 10:28:00;0;
01.07.2023 10:33:00;0;
01.07.2023 10:38:00;0;
01.07.2023 10:43:00;0;
01.07.2023 10:48:00;0;
01.07.2023 10:53:00;0;
01.07.2023 10:58:00;0;
01.07.2023 11:03:00;0;
01.07.2023 11:08:00;0;
01.07.2023 11:13:00;0;
01.07.2023 11:18:00;0;
01.07.2023 11:23:00;0;
01.07.2023 11:28:00;0;
01.07.2023 11:33:00;0;
01.07.2023 11:38:00;0;
01.07.2023 11:43:00;0;
01.07.2023 11:48:00;0;
01.07.2023 11:53:00;0;
01.07.2023 11:58:00;0;
