tkt=300,Leistung_in_W;EL:AC Leistung;EL:DC Leistung;EL:Strombezug Trafo;EL:Stromlieferung Trafo;EL:Stromlieferung PV;EL:Stromlieferung BHKW;EL:Eigenverbrauch;EL:GesamtStrom;
23.09.2022 00:04:00;0;0;0;1463;0;40680;39217;39217;
23.09.2022 00:09:00;0;0;0;1339;0;40033;38693;38693;
23.09.2022 00:14:00;0;0;0;889;0;40467;39576;39576;
23.09.2022 00:19:00;0;0;1100;80;0;39537;39457;40558;
23.09.2022 00:24:00;0;0;1737;0;0;40188;40188;41925;
23.09.2022 00:29:00;0;0;1883;0;0;40828;40828;42712;
23.09.2022 00:34:00;0;0;1331;0;0;38829;38829;40160;
23.09.2022 00:39:00;0;0;1309;0;0;40757;40757;42066;
23.09.2022 00:44:00;0;0;1359;0;0;40896;40896;42255;
23.09.2022 00:49:00;0;0;1340;769;0;40918;40148;41490;
23.09.2022 00:54:00;0;0;972;1101;0;40148;39046;40020;
23.09.2022 00:59:00;0;0;264;1466;0;40502;39036;39300;
23.09.2022 01:04:00;0;0;0;1499;0;40753;39253;39253;
23.09.2022 01:09:00;0;0;0;1527;0;39942;38414;38414;
23.09.2022 01:14:00;0;0;0;1489;0;40857;39367;39367;
23.09.2022 01:19:00;0;0;0;1448;0;40396;38948;38948;
23.09.2022 01:24:00;0;0;0;1068;0;41756;40688;40688;
23.09.2022 01:29:00;0;0;0;1022;0;40011;38989;38989;
23.09.2022 01:34:00;0;0;2600;1011;0;40717;39705;42306;
23.09.2022 01:39:00;0;0;6492;630;0;40386;39755;46247;
23.09.2022 01:44:00;0;0;4281;0;0;40969;40969;45251;
23.09.2022 01:49:00;0;0;5175;0;0;38701;38701;43877;
23.09.2022 01:54:00;0;0;2647;0;0;40702;40702;43350;
23.09.2022 01:59:00;0;0;1228;0;0;40267;40267;41496;
23.09.2022 02:04:00;0;0;681;0;0;38881;38881;39563;
23.09.2022 02:09:00;0;0;0;0;0;39872;39872;39872;
23.09.2022 02:14:00;0;0;0;0;0;39906;39906;39906;
23.09.2022 02:19:00;0;0;0;0;0;39723;39723;39723;
23.09.2022 02:24:00;0;0;0;0;0;41052;41052;41052;
23.09.2022 02:29:00;0;0;0;0;0;37989;37989;37989;
23.09.2022 02:34:00;0;0;250;558;0;40279;39721;39971;
23.09.2022 02:39:00;0;0;3419;791;0;40239;39448;42868;
23.09.2022 02:44:00;0;0;6059;791;0;40098;39307;45367;
23.09.2022 02:49:00;0;0;7700;489;0;40296;39806;47507;
23.09.2022 02:54:00;0;0;2269;0;0;40489;40489;42759;
23.09.2022 02:59:00;0;0;1899;0;0;39214;39214;41114;
23.09.2022 03:04:00;0;0;1102;0;0;39595;39595;40698;
23.09.2022 03:09:00;0;0;492;0;0;40383;40383;40876;
23.09.2022 03:14:00;0;0;0;0;0;40055;40055;40055;
23.09.2022 03:19:00;0;0;0;0;0;39423;39423;39423;
23.09.2022 03:24:00;0;0;0;0;0;41372;41372;41372;
23.09.2022 03:29:00;0;0;0;0;0;39921;39921;39921;
23.09.2022 03:34:00;0;0;1231;0;0;40466;40466;41698;
23.09.2022 03:39:00;0;0;2116;0;0;40194;40194;42311;
23.09.2022 03:44:00;0;0;1743;0;0;40000;40000;41743;
23.09.2022 03:49:00;0;0;1452;0;0;40812;40812;42265;
23.09.2022 03:54:00;0;0;936;0;0;40778;40778;41715;
23.09.2022 03:59:00;0;0;1116;0;0;40647;40647;41763;
23.09.2022 04:04:00;0;0;3733;0;0;40680;40680;44414;
23.09.2022 04:09:00;0;0;2151;0;0;39588;39588;41741;
23.09.2022 04:14:00;0;0;1115;0;0;40297;40297;41413;
23.09.2022 04:19:00;0;0;510;0;0;40288;40288;40799;
23.09.2022 04:24:00;0;0;0;0;0;40039;40039;40039;
23.09.2022 04:29:00;0;0;219;0;0;40294;40294;40513;
23.09.2022 04:34:00;0;0;2749;0;0;40691;40691;43441;
23.09.2022 04:39:00;0;0;1597;0;0;40011;40011;41609;
23.09.2022 04:44:00;0;0;4455;0;0;41600;41600;46056;
23.09.2022 04:49:00;0;0;2187;0;0;40702;40702;42889;
23.09.2022 04:54:00;0;0;2200;0;0;40630;40630;42830;
23.09.2022 04:59:00;0;0;2966;0;0;39057;39057;42023;
23.09.2022 05:04:00;0;0;3019;0;0;37819;37819;40839;
23.09.2022 05:09:00;0;0;3722;0;0;37793;37793;41517;
23.09.2022 05:14:00;0;0;5565;0;0;39668;39668;45234;
23.09.2022 05:19:00;0;0;9956;0;0;38317;38317;48273;
23.09.2022 05:24:00;0;0;6636;0;0;39125;39125;45762;
23.09.2022 05:29:00;0;0;7993;0;0;39307;39307;47301;
23.09.2022 05:34:00;0;0;7628;0;0;39053;39053;46682;
23.09.2022 05:39:00;0;0;8003;0;0;39487;39487;47491;
23.09.2022 05:44:00;0;0;6958;0;0;38903;38903;45862;
23.09.2022 05:49:00;0;0;4929;0;0;39728;39728;44657;
23.09.2022 05:54:00;0;0;6906;0;0;39498;39498;46404;
23.09.2022 05:59:00;0;0;5687;0;0;37821;37821;43509;
23.09.2022 06:04:00;0;0;7722;0;0;39243;39243;46965;
23.09.2022 06:09:00;0;0;7355;0;0;38035;38035;45391;
23.09.2022 06:14:00;0;0;8784;0;0;36661;36661;45445;
23.09.2022 06:19:00;0;0;10729;0;0;35647;35647;46377;
23.09.2022 06:24:00;0;0;13180;0;0;35831;35831;49011;
23.09.2022 06:29:00;0;0;12843;0;0;35855;35855;48698;
23.09.2022 06:34:00;0;0;16252;0;0;35620;35620;51873;
23.09.2022 06:39:00;0;0;13190;0;0;35229;35229;48420;
23.09.2022 06:44:00;0;0;13550;0;0;35927;35927;49477;
23.09.2022 06:49:00;0;0;18121;0;0;36319;36319;54440;
23.09.2022 06:54:00;0;0;18399;0;0;36099;36099;54499;
23.09.2022 06:59:00;14;198;16496;0;0;35640;35640;52136;
23.09.2022 07:04:00;188;449;17773;0;0;35855;35855;53629;
23.09.2022 07:09:00;445;670;15711;0;209;35643;35853;51564;
23.09.2022 07:14:00;860;992;14650;0;700;36140;36840;51491;
23.09.2022 07:19:00;1535;1499;12672;0;1329;36346;37677;50349;
23.09.2022 07:24:00;2404;2170;16059;0;2213;34995;37208;53269;
23.09.2022 07:29:00;3138;2720;17012;0;2956;35835;38791;55804;
23.09.2022 07:34:00;3888;3315;15575;0;3721;36123;39845;55421;
23.09.2022 07:39:00;4528;3831;13683;0;4345;36333;40679;54363;
23.09.2022 07:44:00;5603;4742;9934;0;5363;35270;40634;50569;
23.09.2022 07:49:00;7173;6010;5845;0;6938;35648;42587;48433;
23.09.2022 07:54:00;9956;8256;5355;0;9673;35646;45320;50676;
23.09.2022 07:59:00;12936;10760;3433;0;12721;36130;48853;52287;
23.09.2022 08:04:00;16850;14010;2029;0;16486;36102;52588;54619;
23.09.2022 08:09:00;20355;16966;1104;113;19902;36060;55850;56955;
23.09.2022 08:14:00;21917;18366;993;3362;21709;35637;53984;54977;
23.09.2022 08:19:00;22924;19233;993;5618;23098;35643;53122;54115;
23.09.2022 08:24:00;24711;20735;839;7559;25904;35517;53863;54703;
23.09.2022 08:29:00;23628;19841;5;9529;24133;34826;49429;49435;
23.09.2022 08:34:00;32340;27049;0;17504;34267;35027;51790;51790;
23.09.2022 08:39:00;37045;31182;0;24092;38618;35815;50341;50341;
23.09.2022 08:44:00;39565;33418;0;23538;39398;36320;52179;52179;
23.09.2022 08:49:00;43685;36823;0;28627;43004;35636;50013;50013;
23.09.2022 08:54:00;46940;39568;0;32508;49950;36100;53541;53541;
23.09.2022 08:59:00;47641;40121;0;33909;54845;35644;56581;56581;
23.09.2022 09:04:00;37230;31443;0;22972;39591;35642;52262;52262;
23.09.2022 09:09:00;55060;46250;0;40650;61797;35837;56983;56983;
23.09.2022 09:14:00;46090;38820;0;30350;47350;36161;53161;53161;
23.09.2022 09:19:00;52881;44435;0;34989;52263;35825;53099;53099;
23.09.2022 09:24:00;75779;63584;0;60429;78106;35506;53183;53183;
23.09.2022 09:29:00;78080;65508;0;62290;78637;36588;52935;52935;
23.09.2022 09:34:00;80729;67778;0;66472;78492;36124;48144;48144;
23.09.2022 09:39:00;83573;70143;0;66819;79586;35635;48401;48401;
23.09.2022 09:44:00;78455;65818;0;64841;76500;35820;47479;47479;
23.09.2022 09:49:00;72022;60431;0;54364;76200;35642;57478;57478;
23.09.2022 09:54:00;58633;49307;0;46354;62168;35812;51627;51627;
23.09.2022 09:59:00;52518;44247;0;38728;60801;35823;57896;57896;
23.09.2022 10:04:00;53390;44940;0;36677;56348;36185;55857;55857;
23.09.2022 10:09:00;57101;48049;0;43505;61778;35640;53912;53912;
23.09.2022 10:14:00;56152;47269;0;43014;59850;35537;52372;52372;
23.09.2022 10:19:00;54655;46030;0;44096;67397;34981;58282;58282;
23.09.2022 10:24:00;55720;46887;0;42558;60095;35816;53353;53353;
23.09.2022 10:29:00;58972;49570;0;44487;64901;36229;56643;56643;
